===== System Information =====
Time: 2025-10-23T19:35:07.914
App: ColorProDisplayManager
App Version: 1.1.0.1023
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1536 x 864 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[19:35:07.915]  [T:0x9553f] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[19:35:07.916]  [T:0x9553f] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[19:35:08.452]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[19:35:08.453]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[19:35:24.860]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Color Defaults" VCP value is  0
[19:35:25.061]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  70
[19:35:25.274]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Display Application" VCP value is  0 VCP option name: "Off"
[19:35:25.467]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Energy Saving" VCP value is  1 VCP option name: "Energy Saving Off"
[19:35:25.669]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1 VCP option name: "0"
[19:35:25.873]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Input Selection" VCP value is  18 VCP option name: "Digital Video (TMDS) 3 HDMI 2"
[19:35:26.074]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Power Indicator" VCP value is  2 VCP option name: "On"
[19:35:26.276]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Luminance" VCP value is  0
[19:35:26.479]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  55
[19:35:26.690]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Color Temperature" VCP value is  5 VCP option name: "Native"
[19:35:26.797]  [T:0x9553f] W: [ CDisplayDatabaseKeeper::getData ] Failed to get data, data is empty CDisplayDatabaseCommand::DisplayDatabaseElements::AllMonitorVCPXORMap
[19:35:26.798]  [T:0x9553f] W: [ CDisplayDatabaseKeeper::getData ] Failed to get data, data is empty CDisplayDatabaseCommand::DisplayDatabaseElements::ALLMonitorVCPOptionMap
